userId,rating,gender,movieId,title,distributor,genres,directors,crew,crew_types,actors,age,release_year
YM_1620,5.0,M,1060,Swingers,,Comedy,Doug Limon|Doug Liman,"Editor|Producer|Co-Producer, Producer",1800317433|1800374886|1800018685,Jon Favreau|Vince Vaughn|Heather Graham|Ron Livingston|Brooke Langton|Deena Martin,40's,1990's
YM_1620,5.0,M,1089,Reservoir Dogs,,Drama,Quentin Tarantino,Producer|Production Designer|Costume Designer|Executive Producer|Executive Producer|Cinematographer|Screenwriter|Co-Producer|Executive Producer|Voice|Editor,1800020271|1800293431|1800244816|1800022409|1800049013|1800242924|1800021942|1800014968|1802841051|1800062500|1800345946,Harvey Keitel|Tim Roth|Chris Penn|Steve Buscemi|Lawrence Tierney|Michael Madsen|Quentin Tarantino|Eddie Bunker|Kirk Baltz|Lawrence Bender,40's,1990's
YM_1620,5.0,M,1089,Reservoir Dogs,,Crime,Quentin Tarantino,Producer|Production Designer|Costume Designer|Executive Producer|Executive Producer|Cinematographer|Screenwriter|Co-Producer|Executive Producer|Voice|Editor,1800020271|1800293431|1800244816|1800022409|1800049013|1800242924|1800021942|1800014968|1802841051|1800062500|1800345946,Harvey Keitel|Tim Roth|Chris Penn|Steve Buscemi|Lawrence Tierney|Michael Madsen|Quentin Tarantino|Eddie Bunker|Kirk Baltz|Lawrence Bender,40's,1990's
YM_1620,5.0,M,1089,Reservoir Dogs,,Gangster,Quentin Tarantino,Producer|Production Designer|Costume Designer|Executive Producer|Executive Producer|Cinematographer|Screenwriter|Co-Producer|Executive Producer|Voice|Editor,1800020271|1800293431|1800244816|1800022409|1800049013|1800242924|1800021942|1800014968|1802841051|1800062500|1800345946,Harvey Keitel|Tim Roth|Chris Penn|Steve Buscemi|Lawrence Tierney|Michael Madsen|Quentin Tarantino|Eddie Bunker|Kirk Baltz|Lawrence Bender,40's,1990's
YM_1620,3.0,M,1343,Cape Fear,,Drama,Martin Scorsese,Screenwriter|Producer,1800168212|1800020778,Robert De Niro|Nick Nolte|Jessica Lange|Juliette Lewis|Robert Mitchum|Gregory Peck|Martin Balsam|Joe Don Baker|Fred Dalton Thompson|Illeana Douglas,40's,1990's
YM_1620,5.0,M,1729,Jackie Brown,Miramax Films,Thriller,Quentin Tarantino,"Co-Producer|Executive Producer, Story|Producer|Executive Producer|Production Designer|Executive Producer|Cinematographer|Screenwriter|Costume Designer|Executive Producer|Additional Music/Songs|Editor",1800388970|1800011592|1800020271|1800088780|1800293431|1800022409|1800185337|1800021942|1800345948|1800019968|1800267576|1800345946,"Pam Grier|Samuel L Jackson|Robert Forster|Bridget Fonda|Michael Keaton|Robert De Niro|Michael Bowen|Chris Tucker|Lisa Gay Hamilton|Tom ""Tiny"" Lister|Hattie Winston|Denise Crosby|Sid Haig|Aimee Graham|Ellis E. Williams|Tangie Ambrose|T'Keyah Crystal Keymah|Venessia Valentino|Diana Uribe|Renee Kelly|Elizabeth McInerney|Colleen Mayne|Laura Lovelace",40's,1990's
YM_1620,5.0,M,1729,Jackie Brown,Miramax Films,Crime,Quentin Tarantino,"Co-Producer|Executive Producer, Story|Producer|Executive Producer|Production Designer|Executive Producer|Cinematographer|Screenwriter|Costume Designer|Executive Producer|Additional Music/Songs|Editor",1800388970|1800011592|1800020271|1800088780|1800293431|1800022409|1800185337|1800021942|1800345948|1800019968|1800267576|1800345946,"Pam Grier|Samuel L Jackson|Robert Forster|Bridget Fonda|Michael Keaton|Robert De Niro|Michael Bowen|Chris Tucker|Lisa Gay Hamilton|Tom ""Tiny"" Lister|Hattie Winston|Denise Crosby|Sid Haig|Aimee Graham|Ellis E. Williams|Tangie Ambrose|T'Keyah Crystal Keymah|Venessia Valentino|Diana Uribe|Renee Kelly|Elizabeth McInerney|Colleen Mayne|Laura Lovelace",40's,1990's
YM_1620,5.0,M,1729,Jackie Brown,Miramax Films,Gangster,Quentin Tarantino,"Co-Producer|Executive Producer, Story|Producer|Executive Producer|Production Designer|Executive Producer|Cinematographer|Screenwriter|Costume Designer|Executive Producer|Additional Music/Songs|Editor",1800388970|1800011592|1800020271|1800088780|1800293431|1800022409|1800185337|1800021942|1800345948|1800019968|1800267576|1800345946,"Pam Grier|Samuel L Jackson|Robert Forster|Bridget Fonda|Michael Keaton|Robert De Niro|Michael Bowen|Chris Tucker|Lisa Gay Hamilton|Tom ""Tiny"" Lister|Hattie Winston|Denise Crosby|Sid Haig|Aimee Graham|Ellis E. Williams|Tangie Ambrose|T'Keyah Crystal Keymah|Venessia Valentino|Diana Uribe|Renee Kelly|Elizabeth McInerney|Colleen Mayne|Laura Lovelace",40's,1990's
YM_1620,3.0,M,1732,The Big Lebowski,,Comedy,Joel Coen|Ethan Coen,"Editor|Screenwriter|Costume Designer|Narrator|Producer|Producer|Producer, Screenwriter|Choreographer, Cinematographer|Production Designer|Composer",1800346177|1800025224|1800228072|1800019549|1800024036|1800021502|1800025225|1800097296|1800346175|1800033274,Jeff Bridges|John Goodman|Julianne Moore|David Huddleston|Steve Buscemi|John Turturro|Peter Stormare|David Thewlis|Ben Gazzara|Jimmie Dale Gilmore|Tara Reid| Flea|Torsten Voges|Philip Moon|Mark Pellegrino|Jack Kehler|Aimee Mann|Asia Carrera|Jerry Haleva|Peter Siragusa|Philip Seymour Hoffman,40's,1990's
YM_1620,5.0,M,2959,Fight Club,Twentieth Century Fox,Drama,David Fincher,Composer|Costume Designer|Producer|Editor|Producer|Cinematographer|Source Writer|Producer|Production Designer|Screenwriter,1800403123|1800037852|1800293730|1800293728|1800021715|1800403119|1800403117|1800021716|1800403121|1800021717,Edward Norton [a man drawn into a shadowy underworld]|Brad Pitt [Tyler Durden]|Helena Bonham Carter [Marla Singer]|Meat Loaf|Jared Leto|Zach Grenier|Richmond Arquette|Eion Bailey|Joon Kim|Lauren Sanchez,40's,1990's
